iter	Passed	Remaining
404	9215	13538
405	9234	13510
406	9255	13485
407	9283	13470
408	9304	13445
409	9325	13419
410	9344	13392
411	9365	13366
412	9384	13337
413	9401	13307
414	9423	13284
415	9446	13261
416	9468	13237
417	9499	13227
418	9520	13201
419	9539	13173
420	9558	13145
421	9578	13119
422	9597	13091
423	9617	13065
424	9637	13038
425	9656	13010
426	9675	12983
427	9701	12965
428	9721	12939
429	9739	12910
430	9760	12885
431	9779	12858
432	9798	12830
433	9816	12802
434	9833	12772
435	9854	12747
436	9873	12720
437	9901	12704
438	9923	12680
439	9941	12652
440	9961	12626
441	9981	12600
442	9999	12573
443	10018	12545
444	10035	12516
445	10055	12490
446	10074	12463
447	10093	12436
448	10116	12414
449	10140	12393
450	10162	12370
451	10181	12343
452	10199	12315
453	10217	12287
454	10235	12259
455	10254	12233
456	10274	12207
457	10292	12180
458	10312	12154
459	10334	12131
460	10357	12110
461	10377	12084
462	10397	12059
463	10416	12032
464	10434	12005
465	10455	11981
466	10477	11957
467	10494	11929
468	10512	11902
469	10531	11876
470	10559	11859
471	10584	11840
472	10604	11814
473	10623	11788
474	10641	11761
475	10662	11737
476	10682	11712
477	10702	11687
478	10720	11660
479	10739	11634
480	10758	11608
481	10784	11589
482	10805	11566
483	10826	11541
484	10847	11518
485	10865	11491
486	10882	11464
487	10902	11438
488	10919	11411
489	10937	11384
490	10958	11359
491	10982	11339
492	11008	11320
493	11027	11294
494	11047	11270
495	11067	11245
496	11085	11219
497	11104	11194
498	11124	11169
499	11144	11144
500	11164	11119
501	11183	11094
502	11211	11077
503	11230	11052
504	11254	11032
505	11274	11007
506	11293	10981
507	11311	10955
508	11328	10927
509	11347	10902
510	11366	10877
511	11386	10853
512	11412	10833
513	11434	10811
514	11462	10794
515	11480	10768
516	11500	10743
517	11518	10717
518	11538	10693
519	11557	10668
520	11578	10645
521	11598	10621
522	11626	10603
523	11649	10582
524	11668	10556
525	11687	10532
526	11710	10510
527	11728	10484
528	11746	10458
529	11763	10431
530	11783	10407
531	11802	10382
532	11830	10365
533	11853	10343
534	11873	10319
535	11893	10295
536	11911	10270
537	11930	10245
538	11948	10219
539	11971	10197
540	11990	10173
541	12009	10148
542	12037	10130
543	12059	10108
544	12077	10083
545	12097	10058
546	12116	10033
547	12136	10010
548	12154	9985
549	12173	9960
550	12192	9935
551	12212	9911
552	12238	9892
553	12264	9873
554	12281	9847
555	12300	9822
556	12317	9796
557	12338	9773
558	12358	9749
559	12377	9725
560	12396	9700
561	12413	9674
562	12438	9654
563	12462	9633
564	12481	9609
565	12499	9584
566	12516	9558
567	12536	9534
568	12555	9510
569	12575	9486
570	12593	9461
571	12612	9437
572	12639	9419
573	12661	9396
574	12681	9373
575	12699	9348
576	12718	9323
577	12736	9298
578	12759	9277
579	12778	9253
580	12796	9228
581	12817	9205
582	12848	9189
583	12867	9165
584	12887	9142
585	12905	9117
586	12923	9092
587	12944	9069
588	12962	9044
589	12980	9020
590	12997	8995
591	13016	8970
592	13044	8952
593	13067	8931
594	13088	8908
595	13105	8883
596	13123	8858
597	13141	8834
598	13162	8811
599	13180	8787
600	13200	8763
601	13219	8740
602	13239	8716
603	13263	8696
604	13286	8674
605	13307	8652
606	13327	8628
607	13347	8605
608	13367	8582
609	13385	8557
610	13404	8534
611	13422	8509
612	13442	8486
613	13462	8463
614	13492	8446
615	13514	8424
616	13531	8399
617	13551	8376
618	13570	8352
619	13591	8330
620	13610	8306
621	13629	8282
622	13647	8258
623	13665	8234
624	13693	8215
625	13716	8194
626	13734	8170
627	13753	8146
628	13772	8123
629	13791	8099
630	13810	8076
631	13829	8052
632	13852	8031
633	13872	8008
634	13903	7991
635	13921	7967
636	13940	7944
637	13959	7920
638	13978	7897
639	13998	7874
640	14018	7851
641	14036	7827
642	14057	7804
643	14076	7781
644	14103	7762
645	14125	7740
646	14144	7717
647	14165	7694
648	14183	7670
649	14203	7647
650	14220	7623
651	14240	7600
652	14262	7579
653	14282	7556
654	14310	7537
655	14329	7514
656	14349	7491
657	14368	7468
658	14386	7444
659	14412	7424
660	14434	7402
661	14454	7379
662	14474	7357
663	14495	7335
664	14527	7318
665	14549	7296
666	14568	7273
667	14585	7249
668	14607	7227
669	14626	7203
670	14647	7182
671	14667	7159
672	14685	7135
673	14707	7113
674	14734	7094
675	14756	7072
676	14775	7049
677	14794	7026
678	14812	7002
679	14830	6979
680	14851	6956
681	14869	6933
682	14887	6909
683	14906	6886
684	14931	6866
685	14956	6845
686	14977	6823
687	14996	6800
688	15015	6777
689	15033	6754
690	15053	6731
691	15073	6709
692	15092	6685
693	15110	6662
694	15135	6642
695	15164	6623
696	15184	6600
697	15206	6579
698	15227	6557
699	15251	6536
700	15274	6515
701	15295	6493
702	15316	6470
703	15344	6451
704	15367	6430
705	15387	6407
706	15405	6384
707	15425	6361
708	15444	6338
709	15467	6317
710	15487	6295
711	15506	6272
712	15525	6249
713	15552	6229
714	15572	6207
715	15590	6183
716	15609	6161
717	15626	6137
718	15648	6115
719	15666	6092
720	15684	6069
721	15703	6046
722	15732	6027
723	15761	6008
724	15779	5985
725	15797	5962
726	15816	5939
727	15834	5916
728	15854	5893
729	15872	5870
730	15891	5848
731	15911	5825
732	15930	5802
733	15959	5783
734	15982	5762
735	16000	5739
736	16020	5716
737	16042	5695
738	16062	5672
739	16081	5650
740	16100	5627
741	16117	5604
742	16137	5581
743	16169	5563
744	16191	5541
745	16209	5518
746	16226	5495
747	16248	5474
748	16266	5451
749	16284	5428
750	16302	5405
751	16320	5382
752	16343	5361
753	16370	5341
754	16392	5319
755	16410	5296
756	16429	5273
757	16450	5251
758	16469	5229
759	16488	5206
760	16507	5184
761	16524	5161
762	16542	5138
763	16568	5117
764	16592	5097
765	16611	5074
766	16628	5051
767	16648	5029
768	16667	5006
769	16686	4984
770	16704	4961
771	16725	4939
772	16743	4917
773	16773	4897
774	16794	4875
775	16811	4852
776	16832	4830
777	16852	4808
778	16873	4786
779	16892	4764
780	16912	4742
781	16930	4719
782	16949	4697
783	16985	4679
784	17006	4657
785	17025	4635
786	17044	4613
787	17064	4590
788	17082	4568
789	17102	4546
790	17121	4523
791	17141	4501
792	17164	4480
793	17190	4459
794	17209	4437
795	17227	4415
796	17248	4393
797	17267	4371
798	17288	4349
799	17306	4326
800	17326	4304
801	17346	4282
802	17376	4263
803	17406	4243
804	17428	4221
805	17447	4199
806	17467	4177
807	17486	4155
808	17507	4133
809	17526	4111
810	17547	4089
811	17567	4067
812	17588	4045
813	17617	4025
814	17638	4003
815	17658	3981
816	17676	3959
817	17695	3937
818	17716	3915
819	17737	3893
820	17757	3871
821	17777	3849
822	17796	3827
823	17824	3807
824	17847	3785
825	17867	3763
826	17887	3741
827	17907	3719
828	17926	3697
829	17946	3675
830	17966	3653
831	17986	3631
832	18007	3610
833	18037	3590
834	18057	3568
835	18074	3545
836	18093	3523
837	18112	3501
838	18133	3479
839	18153	3457
840	18173	3435
841	18193	3413
842	18214	3392
843	18244	3372
844	18266	3350
845	18284	3328
846	18304	3306
847	18322	3284
848	18341	3262
849	18361	3240
850	18378	3217
851	18397	3195
852	18418	3174
853	18447	3153
854	18471	3132
855	18490	3110
856	18511	3088
857	18531	3067
858	18550	3045
859	18569	3022
860	18588	3000
861	18608	2979
862	18630	2957
863	18659	2937
864	18681	2915
865	18700	2893
866	18720	2871
867	18741	2850
868	18761	2828
869	18782	2806
870	18801	2784
871	18820	2762
872	18844	2741
873	18872	2720
874	18895	2699
875	18913	2677
876	18934	2655
877	18954	2633
878	18972	2611
879	18991	2589
880	19010	2567
881	19031	2546
882	19052	2524
883	19080	2503
884	19103	2482
885	19125	2460
886	19145	2439
887	19165	2417
888	19184	2395
889	19202	2373
890	19222	2351
891	19242	2329
892	19263	2308
893	19292	2287
894	19313	2265
895	19335	2244
896	19354	2222
897	19372	2200
898	19390	2178
899	19410	2156
900	19431	2135
901	19450	2113
902	19471	2091
903	19501	2070
904	19522	2049
905	19542	2027
906	19560	2005
907	19580	1983
908	19601	1962
909	19619	1940
910	19637	1918
911	19656	1896
912	19675	1874
913	19707	1854
914	19728	1832
915	19751	1811
916	19769	1789
