iter	Logloss
112	0.2000769017
113	0.1982936275
114	0.1972522045
115	0.1964469594
116	0.195650385
117	0.1950919983
118	0.194221939
119	0.1935359933
120	0.1928552747
121	0.1919385079
122	0.1911808408
123	0.1903861837
124	0.1894630904
125	0.1884757558
126	0.1878123551
127	0.1872660864
128	0.1867546961
129	0.1858746232
130	0.1848996775
131	0.184196592
132	0.183235585
133	0.1825305525
134	0.1816479016
135	0.1807723198
136	0.1801262494
137	0.1791920771
138	0.1785536593
139	0.1779756074
140	0.1772287301
141	0.1763667191
142	0.1758302385
143	0.1748532979
144	0.1741093514
145	0.1732482649
146	0.1723513549
147	0.1717225914
148	0.1708522824
149	0.1704829403
150	0.1700822158
151	0.1692388749
152	0.1687964111
153	0.1676480475
154	0.166952034
155	0.1663074913
156	0.1654615585
157	0.1648568793
158	0.1640623793
159	0.1633819341
160	0.1625844429
161	0.1616122414
162	0.1604376886
163	0.159581022
164	0.1589082532
165	0.1581944319
166	0.1571029262
167	0.1561969023
168	0.1554827537
169	0.1543210969
170	0.1539339084
171	0.1532201982
172	0.1526932832
173	0.1518340467
174	0.1511742646
175	0.150177993
176	0.1496801824
177	0.1488369553
178	0.1485883927
179	0.1480931075
180	0.1472113155
181	0.1463273862
182	0.1459734192
183	0.1453683872
184	0.1449338262
185	0.1445505349
186	0.1438522936
187	0.143270705
188	0.1430001202
189	0.1424784818
190	0.1419387222
191	0.141531931
192	0.1409155199
193	0.1402991217
194	0.1397889388
195	0.139065257
196	0.138464022
197	0.138135811
198	0.1377671799
199	0.1371266097
200	0.1364672603
201	0.135809472
202	0.1351540776
203	0.1348901237
204	0.1344888256
205	0.1339446479
206	0.1334105559
207	0.1326905548
208	0.1320357265
209	0.1311474244
210	0.1307695952
211	0.1301086257
212	0.1297018578
213	0.1292310102
214	0.1288763659
215	0.1283189181
216	0.1278525018
217	0.1275066064
218	0.1268275786
219	0.1264222432
220	0.1259299005
221	0.1254650198
222	0.1249602037
223	0.1244093371
224	0.123948237
225	0.123619678
226	0.1228584943
227	0.1222296007
228	0.1218065881
229	0.1210491132
230	0.1204850913
231	0.1200308267
232	0.1194985324
233	0.1194497093
234	0.1191018961
235	0.1186052461
236	0.1181283241
237	0.1167342016
238	0.1162775984
239	0.1158165625
240	0.1154613212
241	0.1150645969
242	0.114618695
243	0.1141896615
244	0.1137936735
245	0.1134640692
246	0.1131411099
247	0.11271353
248	0.1123805895
249	0.1119141561
250	0.1115737454
251	0.1111662112
252	0.1107383991
253	0.1103143361
254	0.110131305
255	0.1098569834
256	0.1093920978
257	0.1090546621
258	0.1085218241
259	0.1080922923
260	0.1077755214
261	0.1073980615
262	0.1070139775
263	0.1068198819
264	0.106474597
265	0.1061773663
266	0.1057432434
267	0.1052801648
268	0.1049776776
269	0.1046509173
270	0.1041666693
271	0.1037803974
272	0.1031982574
273	0.1028870103
274	0.1023497746
275	0.1018440619
276	0.101421511
277	0.1010551965
278	0.1004533599
279	0.09998977726
280	0.09969882446
281	0.09942192853
282	0.09901194651
283	0.09870343541
284	0.09826700587
285	0.09795018228
286	0.09769810683
287	0.09736200081
288	0.09704111629
289	0.09659823885
290	0.09602858973
291	0.095740022
292	0.09528630864
293	0.09489357416
294	0.09469159854
295	0.09424605984
296	0.09395521287
297	0.09345197458
298	0.09321453707
299	0.09295936495
300	0.09250125647
301	0.09228208319
302	0.09194008139
303	0.09156005148
304	0.09114303898
305	0.09079892267
306	0.09024263402
307	0.08981557638
308	0.08950486031
309	0.08904989724
310	0.08874421983
311	0.0884783998
312	0.08827195972
313	0.08797688336
314	0.08766356281
315	0.08735429575
316	0.08712414859
317	0.08668181458
318	0.08639243617
319	0.08603231316
320	0.08576077525
321	0.08528301958
322	0.08493356967
323	0.08440902051
324	0.0841885076
325	0.0837998512
326	0.08352845832
327	0.08328027082
328	0.08298467993
329	0.0826200717
330	0.08224602305
331	0.08193541621
332	0.08173785667
333	0.08147688929
334	0.08108966165
335	0.08076309625
336	0.08066861421
337	0.08042398866
338	0.08020562844
339	0.07983270077
340	0.07958460614
341	0.079400967
342	0.07922776647
343	0.07883760191
344	0.07869442552
345	0.07840660246
346	0.07794700917
347	0.07775195618
348	0.07759148858
349	0.07715242935
350	0.0769202432
351	0.07673998509
352	0.07642893495
353	0.07631934302
354	0.07605749518
355	0.07576667041
356	0.07554979797
357	0.07541402512
358	0.07509436879
359	0.07485559798
360	0.07448658903
361	0.07421174235
362	0.07397483282
363	0.07364077782
364	0.07331109585
365	0.07304422629
366	0.07271780862
367	0.07261356237
368	0.07233806439
369	0.0721037586
370	0.07176953214
371	0.07162685934
372	0.07142498993
373	0.07125227911
374	0.07107955495
375	0.07087016586
376	0.07050109727
377	0.07038487412
378	0.0701752162
379	0.0699099784
380	0.06975544963
381	0.06949688834
382	0.06931708288
383	0.06903170091
384	0.06882687262
385	0.06847657227
386	0.06815274991
387	0.06795996155
388	0.06776371274
389	0.06738053571
390	0.06712092625
391	0.06691101159
392	0.06677883758
393	0.0665220068
394	0.06620754894
395	0.06601035266
396	0.06572973368
397	0.0654905042
398	0.06528389961
399	0.06501209238
