iter	Logloss
0	0.5943333289
1	0.5343578017
2	0.4949056283
3	0.4708807574
4	0.4509781116
5	0.4381107029
6	0.4291793624
7	0.4202851759
8	0.4096360799
9	0.3996324073
10	0.3941119628
11	0.3886123462
12	0.3849473731
13	0.3807273142
14	0.3763269927
15	0.3723740389
16	0.3694733512
17	0.3662115764
18	0.363134365
19	0.3589782845
20	0.3558655454
21	0.3507915048
22	0.3486502553
23	0.3461971393
24	0.343732863
25	0.341073423
26	0.3374913385
27	0.3352279027
28	0.3332426811
29	0.3305801465
30	0.3283597794
31	0.3264071148
32	0.3250521879
33	0.3222662296
34	0.319737852
35	0.3182972103
36	0.3163784712
37	0.3146904921
38	0.3119274502
39	0.3106500011
40	0.3090842623
41	0.3073050941
42	0.3055045795
43	0.3035603566
44	0.3012547939
45	0.2991812826
46	0.2977989609
47	0.2960181726
48	0.2945299783
49	0.2930641685
50	0.2914642561
51	0.2900064841
52	0.2887339896
53	0.2864449408
54	0.2853280346
55	0.28362259
56	0.2807300731
57	0.2779447028
58	0.2757238579
59	0.2736896256
60	0.2687430485
61	0.2674468805
62	0.2656851867
63	0.2645523352
64	0.2621721647
65	0.2611686264
66	0.259876809
67	0.2586957643
68	0.254788615
69	0.2511318088
70	0.2499623702
71	0.2484347731
72	0.2472658679
73	0.2456530901
74	0.2442851702
75	0.2431057748
76	0.2420408646
77	0.2410340669
78	0.2395679877
79	0.2386058244
80	0.2374101163
81	0.2359070035
82	0.2348420965
83	0.231850203
84	0.2304107513
85	0.229270076
86	0.2284250905
87	0.2278438642
88	0.226716114
89	0.2254848689
90	0.2246455874
91	0.2232311778
92	0.2221458209
93	0.2213513016
94	0.2197989596
95	0.2188738084
96	0.2174343976
97	0.2166330245
98	0.2153155831
99	0.2147333435
100	0.213704441
101	0.2123346591
102	0.2115152612
103	0.2102850006
104	0.2081519834
105	0.2073795763
106	0.2060342768
107	0.2050398355
108	0.2042472032
109	0.2033600602
110	0.2026373238
111	0.2012913902
